frontend_question_id,question_id,title,question__title,question__title_slug,level,paid_only
175,175,组合两个表,Combine Two Tables,combine-two-tables,Easy,False
176,176,第二高的薪水,Second Highest Salary,second-highest-salary,Easy,False
177,177,第N高的薪水,Nth Highest Salary,nth-highest-salary,Medium,False
178,178,分数排名,Rank Scores,rank-scores,Medium,False
180,180,连续出现的数字,Consecutive Numbers,consecutive-numbers,Medium,False
181,181,超过经理收入的员工,Employees Earning More Than Their Managers,employees-earning-more-than-their-managers,Easy,False
182,182,查找重复的电子邮箱,Duplicate Emails,duplicate-emails,Easy,False
183,183,从不订购的客户,Customers Who Never Order,customers-who-never-order,Easy,False
184,184,部门工资最高的员工,Department Highest Salary,department-highest-salary,Medium,False
185,185,部门工资前三高的所有员工,Department Top Three Salaries,department-top-three-salaries,Hard,False
196,196,删除重复的电子邮箱,Delete Duplicate Emails,delete-duplicate-emails,Easy,False
197,197,上升的温度,Rising Temperature,rising-temperature,Easy,False
262,262,行程和用户,Trips and Users,trips-and-users,Hard,False
511,1179,游戏玩法分析 I,Game Play Analysis I,game-play-analysis-i,Easy,True
512,1180,游戏玩法分析 II,Game Play Analysis II,game-play-analysis-ii,Easy,True
534,1181,游戏玩法分析 III,Game Play Analysis III,game-play-analysis-iii,Medium,True
550,1182,游戏玩法分析 IV,Game Play Analysis IV,game-play-analysis-iv,Medium,True
569,569,员工薪水中位数,Median Employee Salary,median-employee-salary,Hard,True
570,570,至少有5名直接下属的经理,Managers with at Least 5 Direct Reports,managers-with-at-least-5-direct-reports,Medium,True
571,571,给定数字的频率查询中位数,Find Median Given Frequency of Numbers,find-median-given-frequency-of-numbers,Hard,True
574,574,当选者,Winning Candidate,winning-candidate,Medium,True
577,577,员工奖金,Employee Bonus,employee-bonus,Easy,True
578,578,查询回答率最高的问题,Get Highest Answer Rate Question,get-highest-answer-rate-question,Medium,True
579,579,查询员工的累计薪水,Find Cumulative Salary of an Employee,find-cumulative-salary-of-an-employee,Hard,True
580,580,统计各专业学生人数,Count Student Number in Departments,count-student-number-in-departments,Medium,True
584,584,寻找用户推荐人,Find Customer Referee,find-customer-referee,Easy,True
585,585,2016年的投资,Investments in 2016,investments-in-2016,Medium,True
586,586,订单最多的客户,Customer Placing the Largest Number of Orders,customer-placing-the-largest-number-of-orders,Easy,True
595,595,大的国家,Big Countries,big-countries,Easy,False
596,596,超过5名学生的课,Classes More Than 5 Students,classes-more-than-5-students,Easy,False
597,597,好友申请 I：总体通过率,Friend Requests I: Overall Acceptance Rate,friend-requests-i-overall-acceptance-rate,Easy,True
601,601,体育馆的人流量,Human Traffic of Stadium,human-traffic-of-stadium,Hard,False
602,602,好友申请 II ：谁有最多的好友,Friend Requests II: Who Has the Most Friends,friend-requests-ii-who-has-the-most-friends,Medium,True
603,603,连续空余座位,Consecutive Available Seats,consecutive-available-seats,Easy,True
607,607,销售员,Sales Person,sales-person,Easy,True
608,608,树节点,Tree Node,tree-node,Medium,True
610,610,判断三角形,Triangle Judgement,triangle-judgement,Easy,True
612,612,平面上的最近距离,Shortest Distance in a Plane,shortest-distance-in-a-plane,Medium,True
613,613,直线上的最近距离,Shortest Distance in a Line,shortest-distance-in-a-line,Easy,True
614,614,二级关注者,Second Degree Follower,second-degree-follower,Medium,True
615,615,平均工资：部门与公司比较,Average Salary: Departments VS Company,average-salary-departments-vs-company,Hard,True
618,618,学生地理信息报告,Students Report By Geography,students-report-by-geography,Hard,True
